"STATION","NAME","DATE","TAVG","TMAX","TMIN"
"USW00094728","NY CITY CENTRAL PARK, NY US","2000-03-20","41","47","34"
"USW00094728","NY CITY CENTRAL PARK, NY US","2000-03-21","40","42","37"
"USW00094728","NY CITY CENTRAL PARK, NY US","2000-03-22","45","51","38"
"USW00094728","NY CITY CENTRAL PARK, NY US","2000-03-23","51","64","38"
"USW00094728","NY CITY CENTRAL PARK, NY US","2000-03-24","59","69","48"
"USW00094728","NY CITY CENTRAL PARK, NY US","2000-03-25","57","64","50"
"USW00094728","NY CITY CENTRAL PARK, NY US","2000-03-26","57","63","50"
"USW00094728","NY CITY CENTRAL PARK, NY US","2000-03-27","51","58","43"
"USW00094728","NY CITY CENTRAL PARK, NY US","2000-03-28","53","58","47"
"USW00094728","NY CITY CENTRAL PARK, NY US","2000-03-29","50","55","44"
"USW00094728","NY CITY CENTRAL PARK, NY US","2000-03-30","51","58","43"
"USW00094728","NY CITY CENTRAL PARK, NY US","2000-03-31","48","57","39"
"USW00094728","NY CITY CENTRAL PARK, NY US","2000-04-01","53","65","41"
"USW00094728","NY CITY CENTRAL PARK, NY US","2000-04-02","59","67","51"
"USW00094728","NY CITY CENTRAL PARK, NY US","2000-04-03","60","64","55"
"USW00094728","NY CITY CENTRAL PARK, NY US","2000-04-04","57","65","48"
"USW00094728","NY CITY CENTRAL PARK, NY US","2000-04-05","45","48","41"
"USW00094728","NY CITY CENTRAL PARK, NY US","2000-04-06","56","71","40"
"USW00094728","NY CITY CENTRAL PARK, NY US","2000-04-07","58","64","52"
"USW00094728","NY CITY CENTRAL PARK, NY US","2000-04-08","61","71","50"
"USW00094728","NY CITY CENTRAL PARK, NY US","2000-04-09","40","50","30"
"USW00094728","NY CITY CENTRAL PARK, NY US","2000-04-10","46","54","38"
"USW00094728","NY CITY CENTRAL PARK, NY US","2000-04-11","40","43","36"
"USW00094728","NY CITY CENTRAL PARK, NY US","2000-04-12","45","50","40"
"USW00094728","NY CITY CENTRAL PARK, NY US","2000-04-13","44","52","35"
"USW00094728","NY CITY CENTRAL PARK, NY US","2000-04-14","47","54","39"
"USW00094728","NY CITY CENTRAL PARK, NY US","2000-04-15","55","61","49"
"USW00094728","NY CITY CENTRAL PARK, NY US","2000-04-16","65","75","54"
"USW00094728","NY CITY CENTRAL PARK, NY US","2000-04-17","48","54","41"
"USW00094728","NY CITY CENTRAL PARK, NY US","2000-04-18","44","48","39"
"USW00094728","NY CITY CENTRAL PARK, NY US","2000-04-19","52","61","42"
"USW00094728","NY CITY CENTRAL PARK, NY US","2000-04-20","57","64","49"
"USW00094728","NY CITY CENTRAL PARK, NY US","2000-04-21","47","49","44"
"USW00094728","NY CITY CENTRAL PARK, NY US","2000-04-22","47","50","44"
"USW00094728","NY CITY CENTRAL PARK, NY US","2000-04-23","47","49","44"
"USW00094728","NY CITY CENTRAL PARK, NY US","2000-04-24","57","69","45"
"USW00094728","NY CITY CENTRAL PARK, NY US","2000-04-25","52","56","47"
"USW00094728","NY CITY CENTRAL PARK, NY US","2000-04-26","44","49","39"
"USW00094728","NY CITY CENTRAL PARK, NY US","2000-04-27","45","52","37"
"USW00094728","NY CITY CENTRAL PARK, NY US","2000-04-28","53","59","47"
"USW00094728","NY CITY CENTRAL PARK, NY US","2000-04-29","57","66","47"
"USW00094728","NY CITY CENTRAL PARK, NY US","2000-04-30","58","65","51"
"USW00094728","NY CITY CENTRAL PARK, NY US","2000-05-01","55","62","47"
"USW00094728","NY CITY CENTRAL PARK, NY US","2000-05-02","62","68","55"
"USW00094728","NY CITY CENTRAL PARK, NY US","2000-05-03","59","67","51"
"USW00094728","NY CITY CENTRAL PARK, NY US","2000-05-04","61","69","52"
"USW00094728","NY CITY CENTRAL PARK, NY US","2000-05-05","73","86","60"
"USW00094728","NY CITY CENTRAL PARK, NY US","2000-05-06","79","89","68"
"USW00094728","NY CITY CENTRAL PARK, NY US","2000-05-07","77","93","61"
"USW00094728","NY CITY CENTRAL PARK, NY US","2000-05-08","81","91","70"
"USW00094728","NY CITY CENTRAL PARK, NY US","2000-05-09","83","91","74"
"USW00094728","NY CITY CENTRAL PARK, NY US","2000-05-10","65","78","51"
"USW00094728","NY CITY CENTRAL PARK, NY US","2000-05-11","63","74","52"
"USW00094728","NY CITY CENTRAL PARK, NY US","2000-05-12","63","69","57"
"USW00094728","NY CITY CENTRAL PARK, NY US","2000-05-13","64","72","55"
"USW00094728","NY CITY CENTRAL PARK, NY US","2000-05-14","65","73","56"
"USW00094728","NY CITY CENTRAL PARK, NY US","2000-05-15","59","66","52"
"USW00094728","NY CITY CENTRAL PARK, NY US","2000-05-16","61","70","51"
"USW00094728","NY CITY CENTRAL PARK, NY US","2000-05-17","65","70","59"
"USW00094728","NY CITY CENTRAL PARK, NY US","2000-05-18","70","81","59"
"USW00094728","NY CITY CENTRAL PARK, NY US","2000-05-19","55","63","47"
"USW00094728","NY CITY CENTRAL PARK, NY US","2000-05-20","49","51","46"
"USW00094728","NY CITY CENTRAL PARK, NY US","2000-05-21","53","55","51"
"USW00094728","NY CITY CENTRAL PARK, NY US","2000-05-22","55","57","52"
"USW00094728","NY CITY CENTRAL PARK, NY US","2000-05-23","58","63","52"
"USW00094728","NY CITY CENTRAL PARK, NY US","2000-05-24","68","80","55"
"USW00094728","NY CITY CENTRAL PARK, NY US","2000-05-25","67","75","59"
"USW00094728","NY CITY CENTRAL PARK, NY US","2000-05-26","68","76","59"
"USW00094728","NY CITY CENTRAL PARK, NY US","2000-05-27","62","67","57"
"USW00094728","NY CITY CENTRAL PARK, NY US","2000-05-28","62","68","56"
"USW00094728","NY CITY CENTRAL PARK, NY US","2000-05-29","59","65","53"
"USW00094728","NY CITY CENTRAL PARK, NY US","2000-05-30","57","63","50"
"USW00094728","NY CITY CENTRAL PARK, NY US","2000-05-31","60","69","50"
"USW00094728","NY CITY CENTRAL PARK, NY US","2000-06-01","72","85","59"
"USW00094728","NY CITY CENTRAL PARK, NY US","2000-06-02","80","90","69"
"USW00094728","NY CITY CENTRAL PARK, NY US","2000-06-03","68","74","61"
"USW00094728","NY CITY CENTRAL PARK, NY US","2000-06-04","67","74","59"
"USW00094728","NY CITY CENTRAL PARK, NY US","2000-06-05","64","68","60"
"USW00094728","NY CITY CENTRAL PARK, NY US","2000-06-06","55","60","50"
"USW00094728","NY CITY CENTRAL PARK, NY US","2000-06-07","61","73","49"
"USW00094728","NY CITY CENTRAL PARK, NY US","2000-06-08","70","79","60"
"USW00094728","NY CITY CENTRAL PARK, NY US","2000-06-09","77","87","67"
"USW00094728","NY CITY CENTRAL PARK, NY US","2000-06-10","83","92","73"
"USW00094728","NY CITY CENTRAL PARK, NY US","2000-06-11","82","92","71"
"USW00094728","NY CITY CENTRAL PARK, NY US","2000-06-12","64","71","56"
"USW00094728","NY CITY CENTRAL PARK, NY US","2000-06-13","58","60","55"
"USW00094728","NY CITY CENTRAL PARK, NY US","2000-06-14","57","61","53"
"USW00094728","NY CITY CENTRAL PARK, NY US","2000-06-15","66","75","57"
"USW00094728","NY CITY CENTRAL PARK, NY US","2000-06-16","77","86","67"
"USW00094728","NY CITY CENTRAL PARK, NY US","2000-06-17","80","88","72"
"USW00094728","NY CITY CENTRAL PARK, NY US","2000-06-18","68","73","62"
"USW00094728","NY CITY CENTRAL PARK, NY US","2000-06-19","68","72","64"
"USW00094728","NY CITY CENTRAL PARK, NY US","2000-06-20","73","82","63"
"USW00094728","NY CITY CENTRAL PARK, NY US","2000-06-21","74","80","68"
"USW00094728","NY CITY CENTRAL PARK, NY US","2000-06-22","77","84","69"
"USW00094728","NY CITY CENTRAL PARK, NY US","2000-06-23","76","81","70"
"USW00094728","NY CITY CENTRAL PARK, NY US","2000-06-24","75","83","67"
"USW00094728","NY CITY CENTRAL PARK, NY US","2000-06-25","79","86","72"
"USW00094728","NY CITY CENTRAL PARK, NY US","2000-06-26","81","88","74"
"USW00094728","NY CITY CENTRAL PARK, NY US","2000-06-27","79","86","71"
"USW00094728","NY CITY CENTRAL PARK, NY US","2000-06-28","74","81","66"
"USW00094728","NY CITY CENTRAL PARK, NY US","2000-06-29","70","75","65"
"USW00094728","NY CITY CENTRAL PARK, NY US","2000-06-30","71","78","64"
"USW00094728","NY CITY CENTRAL PARK, NY US","2000-07-01","74","82","65"
"USW00094728","NY CITY CENTRAL PARK, NY US","2000-07-02","77","86","68"
"USW00094728","NY CITY CENTRAL PARK, NY US","2000-07-03","77","85","69"
"USW00094728","NY CITY CENTRAL PARK, NY US","2000-07-04","77","84","70"
"USW00094728","NY CITY CENTRAL PARK, NY US","2000-07-05","78","86","70"
"USW00094728","NY CITY CENTRAL PARK, NY US","2000-07-06","72","79","64"
"USW00094728","NY CITY CENTRAL PARK, NY US","2000-07-07","71","79","63"
"USW00094728","NY CITY CENTRAL PARK, NY US","2000-07-08","69","79","58"
"USW00094728","NY CITY CENTRAL PARK, NY US","2000-07-09","74","82","65"
"USW00094728","NY CITY CENTRAL PARK, NY US","2000-07-10","80","89","71"
"USW00094728","NY CITY CENTRAL PARK, NY US","2000-07-11","76","84","67"
"USW00094728","NY CITY CENTRAL PARK, NY US","2000-07-12","75","83","66"
"USW00094728","NY CITY CENTRAL PARK, NY US","2000-07-13","76","85","67"
"USW00094728","NY CITY CENTRAL PARK, NY US","2000-07-14","72","78","65"
"USW00094728","NY CITY CENTRAL PARK, NY US","2000-07-15","69","71","66"
"USW00094728","NY CITY CENTRAL PARK, NY US","2000-07-16","72","78","66"
"USW00094728","NY CITY CENTRAL PARK, NY US","2000-07-17","74","79","69"
